Incentive Request Date,Month and Year,Government of Canada Fiscal Year (FY),Calendar Year,Dealership Province/Territory,Dealership Postal Code,Purchase or Lease,Vehicle Year,Vehicle Make,Vehicle Model,Vehicle Make and Model,"Battery-Electric Vehicle (BEV), 
Plug-in Hybrid Electric Vehicle (PHEV) or Fuel Cell Electric Vehicle (FCEV)",Eligible Incentive Amount (in dollars),Recipient Province/Territory,Country
2022-10-03,October 2022,2022-23,2022,Ontario,L6J 2X7,Lease,2022,Ford,E-Transit,Ford E-Transit,BEV,"10,000",Ontario,Canada
2022-10-03,October 2022,2022-23,2022,Ontario,N0M 2S0,Purchase,2022,Ford,E-Transit,Ford E-Transit,BEV,"10,000",Ontario,Canada
2022-10-03,October 2022,2022-23,2022,Ontario,K2B 6R7,Purchase,2022,Ford,E-Transit,Ford E-Transit,BEV,"10,000",Ontario,Canada
2022-10-03,October 2022,2022-23,2022,Quebec,G6V 6C7,Purchase,2022,Ford,E-Transit,Ford E-Transit,BEV,"10,000",Quebec,Canada
2022-10-03,October 2022,2022-23,2022,British Columbia,V2P 2N1,Purchase,2022,Ford,E-Transit,Ford E-Transit,BEV,"10,000",British Columbia,Canada
2022-10-03,October 2022,2022-23,2022,Ontario,M1B 5V7,Purchase,2023,Ford,E-Transit,Ford E-Transit,BEV,"10,000",Ontario,Canada
2022-10-04,October 2022,2022-23,2022,Quebec,J7Y 5G2,Purchase,2022,Lion,Lion6,Lion Lion6,BEV,"100,000",Quebec,Canada
2022-10-04,October 2022,2022-23,2022,Quebec,J3L 3R8,Purchase,2022,Ford,E-Transit,Ford E-Transit,BEV,"10,000",Quebec,Canada
2022-10-04,October 2022,2022-23,2022,Prince Edward Island,C1A 5P4,Purchase,2022,Ford,E-Transit,Ford E-Transit,BEV,"10,000",Prince Edward Island,Canada
2022-10-04,October 2022,2022-23,2022,British Columbia,V9B 1H8,Purchase,2022,Ford,E-Transit,Ford E-Transit,BEV,"10,000",British Columbia,Canada
2022-10-04,October 2022,2022-23,2022,British Columbia,V9B 1H8,Purchase,2022,Ford,E-Transit,Ford E-Transit,BEV,"10,000",British Columbia,Canada
2022-10-05,October 2022,2022-23,2022,Quebec,J3L 3R8,Purchase,2022,Ford,E-Transit,Ford E-Transit,BEV,"10,000",Quebec,Canada
2022-10-05,October 2022,2022-23,2022,Quebec,J7Y 5G2,Purchase,2022,Lion,Lion6,Lion Lion6,BEV,"100,000",Quebec,Canada
2022-10-05,October 2022,2022-23,2022,Quebec,J7Y 5G2,Purchase,2022,Lion,Lion6,Lion Lion6,BEV,"100,000",Quebec,Canada
2022-10-05,October 2022,2022-23,2022,Quebec,J7Y 5G2,Lease,2022,Lion,Lion6,Lion Lion6,BEV,"100,000",Quebec,Canada
2022-10-05,October 2022,2022-23,2022,Quebec,J7Y 5G2,Lease,2022,Lion,Lion6,Lion Lion6,BEV,"100,000",Quebec,Canada
2022-10-05,October 2022,2022-23,2022,Newfoundland and Labrador,A1B 4G8,Purchase,2022,Ford,E-Transit,Ford E-Transit,BEV,"10,000",Newfoundland and Labrador,Canada
2022-10-06,October 2022,2022-23,2022,Quebec,J7Y 5G2,Purchase,2022,Lion,Lion6,Lion Lion6,BEV,"100,000",British Columbia,Canada
2022-10-06,October 2022,2022-23,2022,Quebec,J7Y 5G2,Purchase,2022,Lion,Lion6,Lion Lion6,BEV,"100,000",British Columbia,Canada
2022-10-06,October 2022,2022-23,2022,Quebec,J7Y 5G2,Purchase,2022,Lion,Lion6,Lion Lion6,BEV,"100,000",British Columbia,Canada
2022-10-06,October 2022,2022-23,2022,Ontario,L9C 3A5,Lease,2022,Ford,E-Transit,Ford E-Transit,BEV,"10,000",Ontario,Canada
2022-10-06,October 2022,2022-23,2022,British Columbia,V1E 4N6,Lease,2022,Ford,E-Transit,Ford E-Transit,BEV,"10,000",British Columbia,Canada
2022-10-06,October 2022,2022-23,2022,Quebec,J0Z 2G0,Purchase,2022,Ford,E-Transit,Ford E-Transit,BEV,"10,000",Quebec,Canada
2022-10-07,October 2022,2022-23,2022,Ontario,L8H 5Y3,Purchase,2022,Ford,E-Transit,Ford E-Transit,BEV,"10,000",Ontario,Canada
2022-10-07,October 2022,2022-23,2022,British Columbia,V5B 2Z9,Purchase,2022,Ford,E-Transit,Ford E-Transit,BEV,"10,000",British Columbia,Canada
2022-10-07,October 2022,2022-23,2022,British Columbia,V5B 2Z9,Purchase,2022,Ford,E-Transit,Ford E-Transit,BEV,"10,000",British Columbia,Canada
2022-10-08,October 2022,2022-23,2022,Ontario,L8H 5Y3,Purchase,2022,Ford,E-Transit,Ford E-Transit,BEV,"10,000",Ontario,Canada
2022-10-11,October 2022,2022-23,2022,Quebec,J7Y 5G2,Lease,2022,Lion,Lion6,Lion Lion6,BEV,"100,000",British Columbia,Canada
2022-10-11,October 2022,2022-23,2022,Nova Scotia,B2W 2M3,Purchase,2022,Ford,E-Transit,Ford E-Transit,BEV,"10,000",Nova Scotia,Canada
2022-10-11,October 2022,2022-23,2022,British Columbia,V5C 3Z5,Lease,2022,Ford,E-Transit,Ford E-Transit,BEV,"10,000",British Columbia,Canada
2022-10-11,October 2022,2022-23,2022,British Columbia,V5C 3Z5,Lease,2022,Ford,E-Transit,Ford E-Transit,BEV,"10,000",British Columbia,Canada
2022-10-11,October 2022,2022-23,2022,Quebec,J4Y 1A1,Lease,2022,Ford,E-Transit,Ford E-Transit,BEV,"10,000",Quebec,Canada
2022-10-11,October 2022,2022-23,2022,Ontario,M1B 5V7,Purchase,2022,Ford,E-Transit,Ford E-Transit,BEV,"10,000",Ontario,Canada
2022-10-12,October 2022,2022-23,2022,Quebec,J7Y 5G2,Purchase,2022,Lion,Lion6,Lion Lion6,BEV,"100,000",Quebec,Canada
2022-10-12,October 2022,2022-23,2022,Quebec,J7Y 1T4,Lease,2022,Ford,E-Transit,Ford E-Transit,BEV,"10,000",Quebec,Canada
2022-10-13,October 2022,2022-23,2022,Newfoundland and Labrador,A1N 0G4,Purchase,2022,Ford,E-Transit,Ford E-Transit,BEV,"10,000",Newfoundland and Labrador,Canada
2022-10-13,October 2022,2022-23,2022,Ontario,N8M 2W4,Purchase,2022,Ford,E-Transit,Ford E-Transit,BEV,"10,000",Ontario,Canada
2022-10-13,October 2022,2022-23,2022,Alberta,T6H 5W5,Purchase,2022,Ford,E-Transit,Ford E-Transit,BEV,"10,000",Alberta,Canada
2022-10-14,October 2022,2022-23,2022,Newfoundland and Labrador,A5A 2C4,Purchase,2022,Ford,E-Transit,Ford E-Transit,BEV,"10,000",Newfoundland and Labrador,Canada
2022-10-14,October 2022,2022-23,2022,British Columbia,V9T 2H1,Purchase,2022,Ford,E-Transit,Ford E-Transit,BEV,"10,000",British Columbia,Canada
2022-10-14,October 2022,2022-23,2022,Alberta,T2A 4W3,Purchase,2023,Ford,E-Transit,Ford E-Transit,BEV,"10,000",Alberta,Canada
2022-10-14,October 2022,2022-23,2022,Ontario,L4N 9H7,Purchase,2023,Ford,E-Transit,Ford E-Transit,BEV,"10,000",Ontario,Canada
2022-10-15,October 2022,2022-23,2022,British Columbia,V8G 1K3,Lease,2022,Ford,E-Transit,Ford E-Transit,BEV,"10,000",British Columbia,Canada
2022-10-17,October 2022,2022-23,2022,Ontario,K1C 2X8,Purchase,2022,Ford,E-Transit,Ford E-Transit,BEV,"10,000",Quebec,Canada
2022-10-17,October 2022,2022-23,2022,Quebec,J7Y 5G2,Purchase,2023,Lion,Lion6,Lion Lion6,BEV,"100,000",British Columbia,Canada
2022-10-17,October 2022,2022-23,2022,Quebec,J7Y 5G2,Purchase,2022,Lion,Lion6,Lion Lion6,BEV,"100,000",British Columbia,Canada
2022-10-18,October 2022,2022-23,2022,British Columbia,V1M 4B9,Purchase,2022,Mack,LRe,Mack LRe,BEV,"100,000",British Columbia,Canada
2022-10-20,October 2022,2022-23,2022,British Columbia,V8Z 3L4,Purchase,2022,Ford,E-Transit,Ford E-Transit,BEV,"10,000",British Columbia,Canada
2022-10-20,October 2022,2022-23,2022,Alberta,T2A 4W3,Purchase,2023,Ford,E-Transit,Ford E-Transit,BEV,"10,000",Alberta,Canada
2022-10-21,October 2022,2022-23,2022,Quebec,J7Y 5G2,Purchase,2022,Lion,Lion6,Lion Lion6,BEV,"100,000",Quebec,Canada
2022-10-21,October 2022,2022-23,2022,Quebec,J7Y 5G2,Purchase,2022,Lion,Lion6,Lion Lion6,BEV,"100,000",Quebec,Canada
2022-10-21,October 2022,2022-23,2022,Saskatchewan,S7L 6G3,Purchase,2022,Ford,E-Transit,Ford E-Transit,BEV,"10,000",Saskatchewan,Canada
2022-10-25,October 2022,2022-23,2022,British Columbia,V8Z 3L4,Purchase,2022,Ford,E-Transit,Ford E-Transit,BEV,"10,000",British Columbia,Canada
2022-10-26,October 2022,2022-23,2022,British Columbia,V2T 1X6,Lease,2023,Ford,E-Transit,Ford E-Transit,BEV,"10,000",British Columbia,Canada
2022-10-26,October 2022,2022-23,2022,British Columbia,V5B 2Z9,Purchase,2022,Ford,E-Transit,Ford E-Transit,BEV,"10,000",British Columbia,Canada
2022-10-26,October 2022,2022-23,2022,British Columbia,V1M 4B9,Purchase,2022,Mack,LRe,Mack LRe,BEV,"100,000",British Columbia,Canada
2022-10-27,October 2022,2022-23,2022,Quebec,J0K 3C0,Purchase,2022,Ford,E-Transit,Ford E-Transit,BEV,"10,000",Quebec,Canada
2022-10-27,October 2022,2022-23,2022,British Columbia,V2T 5M1,Lease,2022,Ford,E-Transit,Ford E-Transit,BEV,"10,000",British Columbia,Canada
2022-10-28,October 2022,2022-23,2022,Quebec,H4T 1A5,Lease,2023,Kenworth,T680E,Kenworth T680E,BEV,"150,000",Quebec,Canada
2022-10-28,October 2022,2022-23,2022,Quebec,H4T 1A5,Lease,2023,Kenworth,T680E,Kenworth T680E,BEV,"150,000",Quebec,Canada
2022-10-28,October 2022,2022-23,2022,Ontario,L4W 1E6,Lease,2022,Ford,E-Transit,Ford E-Transit,BEV,"7,500",Ontario,Canada
2022-10-28,October 2022,2022-23,2022,Ontario,L9T 3J2,Purchase,2022,Ford,E-Transit,Ford E-Transit,BEV,"10,000",Ontario,Canada
2022-10-29,October 2022,2022-23,2022,Ontario,N8W 5W2,Purchase,2022,Ford,E-Transit,Ford E-Transit,BEV,"10,000",Ontario,Canada
2022-11-04,November 2022,2022-23,2022,British Columbia,V3B 1B2,Lease,2022,Ford,E-Transit,Ford E-Transit,BEV,"10,000",British Columbia,Canada
2022-11-04,November 2022,2022-23,2022,British Columbia,V3B 1B2,Lease,2022,Ford,E-Transit,Ford E-Transit,BEV,"10,000",British Columbia,Canada
2022-11-07,November 2022,2022-23,2022,Quebec,J7Y 5G2,Purchase,2022,Lion,Lion6,Lion Lion6,BEV,"100,000",British Columbia,Canada
2022-11-07,November 2022,2022-23,2022,Quebec,J7Y 5G2,Purchase,2022,Lion,Lion6,Lion Lion6,BEV,"100,000",British Columbia,Canada
2022-11-07,November 2022,2022-23,2022,Quebec,J7Y 5G2,Purchase,2022,Lion,Lion6,Lion Lion6,BEV,"100,000",British Columbia,Canada
2022-11-07,November 2022,2022-23,2022,Quebec,J7Y 5G2,Purchase,2022,Lion,Lion6,Lion Lion6,BEV,"100,000",British Columbia,Canada
2022-11-07,November 2022,2022-23,2022,Quebec,J7Y 5G2,Purchase,2022,Lion,Lion6,Lion Lion6,BEV,"100,000",British Columbia,Canada
2022-11-07,November 2022,2022-23,2022,Quebec,J7Y 5G2,Purchase,2022,Lion,Lion6,Lion Lion6,BEV,"100,000",British Columbia,Canada
2022-11-07,November 2022,2022-23,2022,Quebec,J7Y 5G2,Purchase,2022,Lion,Lion6,Lion Lion6,BEV,"100,000",British Columbia,Canada
2022-11-07,November 2022,2022-23,2022,Quebec,J7Y 5G2,Purchase,2022,Lion,Lion6,Lion Lion6,BEV,"100,000",British Columbia,Canada
2022-11-08,November 2022,2022-23,2022,Manitoba,R2V 2B8,Purchase,2022,Ford,E-Transit,Ford E-Transit,BEV,"10,000",Manitoba,Canada
2022-11-08,November 2022,2022-23,2022,Manitoba,R2V 2B8,Purchase,2022,Ford,E-Transit,Ford E-Transit,BEV,"10,000",Manitoba,Canada
2022-11-08,November 2022,2022-23,2022,Manitoba,R2V 2B8,Purchase,2022,Ford,E-Transit,Ford E-Transit,BEV,"10,000",Manitoba,Canada
2022-11-08,November 2022,2022-23,2022,Manitoba,R2V 2B8,Purchase,2022,Ford,E-Transit,Ford E-Transit,BEV,"10,000",Manitoba,Canada
2022-11-08,November 2022,2022-23,2022,Manitoba,R2V 2B8,Purchase,2022,Ford,E-Transit,Ford E-Transit,BEV,"10,000",Manitoba,Canada
2022-11-10,November 2022,2022-23,2022,Manitoba,R0G 0J0,Purchase,2022,Ford,E-Transit,Ford E-Transit,BEV,"10,000",Manitoba,Canada
2022-11-10,November 2022,2022-23,2022,Manitoba,R0G 0J0,Purchase,2022,Ford,E-Transit,Ford E-Transit,BEV,"10,000",Manitoba,Canada
2022-11-10,November 2022,2022-23,2022,Ontario,M1B 5V7,Lease,2022,Ford,E-Transit,Ford E-Transit,BEV,"10,000",Ontario,Canada
2022-11-14,November 2022,2022-23,2022,Quebec,H7P 0A8,Purchase,2023,Peterbilt,579EV,Peterbilt 579EV,BEV,"150,000",Quebec,Canada
2022-11-14,November 2022,2022-23,2022,Quebec,H7P 0A8,Purchase,2023,Peterbilt,579EV,Peterbilt 579EV,BEV,"150,000",Quebec,Canada
2022-11-15,November 2022,2022-23,2022,Quebec,H4T 1A5,Purchase,2023,Kenworth,T680E,Kenworth T680E,BEV,"150,000",Quebec,Canada
2022-11-18,November 2022,2022-23,2022,Quebec,J7Y 5G2,Purchase,2023,Lion,LionC,Lion LionC,BEV,"100,000",British Columbia,Canada
2022-11-18,November 2022,2022-23,2022,Quebec,J7Y 5G2,Purchase,2023,Lion,LionC,Lion LionC,BEV,"100,000",British Columbia,Canada
2022-11-18,November 2022,2022-23,2022,Quebec,J7Y 5G2,Purchase,2023,Lion,LionC,Lion LionC,BEV,"100,000",British Columbia,Canada
2022-11-18,November 2022,2022-23,2022,Quebec,J7Y 5G2,Purchase,2023,Lion,LionC,Lion LionC,BEV,"100,000",British Columbia,Canada
2022-11-21,November 2022,2022-23,2022,Quebec,H1R 1Z4,Lease,2023,Ford,E-Transit,Ford E-Transit,BEV,"10,000",Quebec,Canada
2022-11-21,November 2022,2022-23,2022,Quebec,H9P 1A7,Purchase,2023,Volvo,VNRE62T300,Volvo VNRE62T300,BEV,"100,000",Quebec,Canada
2022-11-21,November 2022,2022-23,2022,British Columbia,V1R 2T1,Purchase,2022,Ford,E-Transit,Ford E-Transit,BEV,"10,000",British Columbia,Canada
2022-11-22,November 2022,2022-23,2022,Manitoba,R6W 0M6,Purchase,2022,Ford,E-Transit,Ford E-Transit,BEV,"10,000",Manitoba,Canada
2022-11-22,November 2022,2022-23,2022,Ontario,L8H 5Y3,Purchase,2023,Ford,E-Transit,Ford E-Transit,BEV,"10,000",Ontario,Canada
2022-11-23,November 2022,2022-23,2022,Quebec,H1R 1Z4,Lease,2023,Ford,E-Transit,Ford E-Transit,BEV,"10,000",Quebec,Canada
2022-11-23,November 2022,2022-23,2022,Quebec,H1R 1Z4,Lease,2023,Ford,E-Transit,Ford E-Transit,BEV,"10,000",Quebec,Canada
2022-11-23,November 2022,2022-23,2022,Ontario,K4K 1L9,Purchase,2023,Ford,E-Transit,Ford E-Transit,BEV,"10,000",Ontario,Canada
2022-11-23,November 2022,2022-23,2022,Alberta,T2H 2S8,Purchase,2022,Ford,E-Transit,Ford E-Transit,BEV,"10,000",Ontario,Canada
2022-11-28,November 2022,2022-23,2022,Quebec,H1R 1Z4,Lease,2023,Ford,E-Transit,Ford E-Transit,BEV,"10,000",Quebec,Canada
2022-11-28,November 2022,2022-23,2022,Quebec,H1R 1Z4,Lease,2023,Ford,E-Transit,Ford E-Transit,BEV,"10,000",Quebec,Canada
2022-11-28,November 2022,2022-23,2022,Quebec,H1R 1Z4,Lease,2023,Ford,E-Transit,Ford E-Transit,BEV,"10,000",Quebec,Canada
2022-11-28,November 2022,2022-23,2022,Quebec,H1R 1Z4,Lease,2023,Ford,E-Transit,Ford E-Transit,BEV,"10,000",Quebec,Canada
2022-11-28,November 2022,2022-23,2022,Quebec,H1R 1Z4,Lease,2023,Ford,E-Transit,Ford E-Transit,BEV,"10,000",Quebec,Canada
2022-11-28,November 2022,2022-23,2022,Quebec,H1R 1Z4,Lease,2023,Ford,E-Transit,Ford E-Transit,BEV,"10,000",Quebec,Canada
2022-11-30,November 2022,2022-23,2022,Alberta,T2A 4W3,Purchase,2023,Ford,E-Transit,Ford E-Transit,BEV,"10,000",Alberta,Canada
2022-12-01,December 2022,2022-23,2022,Ontario,L4W 1E6,Purchase,2023,Ford,E-Transit,Ford E-Transit,BEV,"10,000",Ontario,Canada
2022-12-02,December 2022,2022-23,2022,Quebec,J7Y 5G2,Purchase,2022,Lion,Lion6,Lion Lion6,BEV,"100,000",Quebec,Canada
2022-12-02,December 2022,2022-23,2022,Quebec,J7Y 5G2,Purchase,2022,Lion,Lion6,Lion Lion6,BEV,"100,000",Quebec,Canada
2022-12-02,December 2022,2022-23,2022,Quebec,J7Y 5G2,Purchase,2022,Lion,Lion6,Lion Lion6,BEV,"100,000",Quebec,Canada
2022-12-02,December 2022,2022-23,2022,Quebec,J7Y 5G2,Purchase,2022,Lion,Lion6,Lion Lion6,BEV,"100,000",Quebec,Canada
2022-12-02,December 2022,2022-23,2022,British Columbia,V7P 3R8,Purchase,2023,Ford,E-Transit,Ford E-Transit,BEV,"10,000",British Columbia,Canada
2022-12-02,December 2022,2022-23,2022,British Columbia,V7P 3R8,Purchase,2022,Ford,E-Transit,Ford E-Transit,BEV,"10,000",British Columbia,Canada
2022-12-05,December 2022,2022-23,2022,Ontario,L0R 1P0,Purchase,2023,International,eMV Battery Electric Truck,International eMV Battery Electric Truck,BEV,"100,000",Quebec,Canada
2022-12-05,December 2022,2022-23,2022,Ontario,L0R 1P0,Purchase,2023,International,eMV Battery Electric Truck,International eMV Battery Electric Truck,BEV,"100,000",Quebec,Canada
2022-12-05,December 2022,2022-23,2022,British Columbia,V3B 1B2,Purchase,2023,Ford,E-Transit,Ford E-Transit,BEV,"10,000",British Columbia,Canada
